Palabra	(Archivo, Cantidad)
wiz	(4,1)
bandai	(4,5)
female-oriented	(4,1)
monster	(4,3)
device	(4,2)
players	(4,2)(1,43)
play	(4,2)(1,39)
fight	(4,1)
compatible	(4,1)
windows	(4,1)
95	(4,1)
rapture	(4,1)
technologies	(4,1)
inc	(4,1)
one-shot	(4,2)
cmon	(4,4)
tenya	(4,1)
yabuno	(4,1)
magazine	(4,4)
v-jump	(4,1)
shueisha	(4,1)
1997a	(4,1)
generation	(4,1)
marketed	(4,2)
launch	(4,1)
starts	(4,1)
baby-level	(4,1)
creature	(4,4)
limited	(4,1)
attacks	(4,1)
transformations	(4,1)
nourishing	(4,1)
workout	(4,1)
becomes	(4,2)(1,2)
fails	(4,1)
weak	(4,1)
connected	(4,1)
respective	(4,2)(1,3)
moment	(4,1)
child	(4,3)
bigger	(4,1)
playgrounds	(4,1)
subways	(4,1)
users	(4,1)
apparatus	(4,1)
banned	(4,1)
asian	(4,1)(1,2)
parents	(4,1)
teachers	(4,1)
noisy	(4,1)
violent	(4,1)
designer	(4,1)
kenji	(4,1)
watanabe	(4,1)
gain	(4,1)(1,1)
popularity	(4,1)(1,1)
characters	(4,1)
cool	(4,1)
totalled	(4,1)
279	(4,1)
discussions	(4,1)
collaborations	(4,1)
membersthe	(4,1)
model	(4,1)
units	(4,3)(1,3)
overseas	(4,1)
premise	(4,1)
contained	(4,1)(1,1)
continuity	(4,3)
basic	(4,1)(1,3)
setting	(4,1)(1,1)
lore	(4,1)
stories	(4,5)
contact	(4,1)(1,1)
accidentally	(4,1)
encountering	(4,1)
will	(4,1)(1,2)(5,1)
equipped	(4,1)
digivice	(4,1)
modelled	(4,1)
enables	(4,1)
empower	(4,1)
partner	(4,1)
act	(4,1)
wild	(4,1)
beasts	(4,1)
societies	(4,1)
follow	(4,1)(1,1)
governing	(4,1)(1,4)
bodies	(4,1)(1,3)
knights	(4,1)
sovereign	(4,1)(1,1)
grow	(4,1)
evolution	(4,2)
digivolution	(4,2)
english-language	(4,2)
dubs	(4,2)
absorbing	(4,1)(1,1)
changing	(4,1)
normally	(4,1)(1,2)
linear	(4,1)
methods	(4,1)(1,3)
jogress	(4,1)
portmanteau	(4,1)
dna	(4,1)
combine	(4,1)
single	(4,2)
occur	(4,1)(1,2)
naturally	(4,1)
partnered	(4,1)
toei	(4,1)
animation	(4,1)
film	(4,3)
storyboard	(4,1)
request	(4,1)
debuted	(4,2)
theaters	(4,1)
tv	(4,3)
adapted	(4,3)
release	(4,4)
markets	(4,1)
treated	(4,1)
collective	(4,1)
title	(4,2)(1,2)
fusion	(4,5)
localized	(4,3)
season	(4,3)(1,6)
overview	(4,1)
featurette	(4,1)
seasonal	(4,1)
tie-ins	(4,1)
footage	(4,1)
american-produced	(4,1)
movie	(4,4)
distribution	(4,2)
localization	(4,1)
aired	(4,8)
fox	(4,8)
kids	(4,6)
saban	(4,7)
entertainment	(4,5)
walt	(4,1)
disney	(4,5)
run	(4,1)(1,2)
scenes	(4,1)
modified	(4,1)
omitted	(4,1)
comply	(4,1)
foxs	(4,1)
standards	(4,1)
practices	(4,1)
featured	(4,1)
jokes	(4,1)
added	(4,1)(1,3)
dialogue	(4,1)
completely	(4,1)(1,1)
cross-promotional	(4,1)
stunt	(4,1)
2001	(4,3)(1,1)
digi-bowl	(4,1)
specials	(4,1)
co-produced	(4,1)
nfl	(4,1)
commentator	(4,1)
terry	(4,1)
bradshaw	(4,1)
interstitial	(4,1)
segments	(4,1)
in-between	(4,1)
episodes	(4,9)
actually	(4,1)(1,1)
gamedisneys	(4,1)
acquisition	(4,1)
airing	(4,2)
disneys	(4,2)
programming	(4,1)
blocks	(4,1)
reruns	(4,2)
cable	(4,1)
abc	(4,2)
fourth	(4,2)(1,4)
premiered	(4,1)
upns	(4,1)
upn	(4,1)
severed	(4,1)
toon	(4,3)
jetix	(4,3)
branding	(4,1)
version	(4,4)(1,1)(5,1)
squad	(4,3)(1,1)
studiopolis	(4,1)
premiere	(4,1)
02	(4,6)
tamers	(4,8)
movies	(4,3)
dubbed	(4,1)
reprising	(4,1)
roles	(4,1)(1,1)
squad/savers	(4,1)
localised	(4,1)
dub	(4,5)
brands	(4,2)
announce	(4,1)
xros	(4,2)
wars	(4,2)
retitled	(4,1)
broadcast	(4,6)
nickelodeon	(4,1)
starting	(4,1)(1,1)
properties	(4,1)
hasbro	(4,1)
shutter	(4,1)
division	(4,1)(1,1)
yearthe	(4,1)
tri	(4,1)
eleven	(4,1)(1,3)
utilize	(4,1)
sabans	(4,1)
reunite	(4,1)
voice	(4,1)(1,1)
remixed	(4,1)
opening	(4,1)(1,2)
theme	(4,1)
retaining	(4,1)(1,1)
shout!	(4,1)
factory	(4,1)
acquire	(4,2)
versions	(4,3)
ytv	(4,2)
exception	(4,1)(1,2)
channels	(4,2)
shownin	(4,1)
kingdom	(4,3)(1,3)
itvs	(4,1)
childrens	(4,1)
slot	(4,1)(1,1)
citv	(4,2)
2001???2002	(4,1)
2002???03	(4,1)
originally	(4,2)(1,2)(5,1)
kix!	(4,1)
2000???03	(4,1)
kixs	(4,1)
2010???	(4,1)
barb	(4,1)
series/seasons	(4,1)
weekly	(4,1)
broadcasts	(4,1)
merchandising	(4,1)
sub-licensing	(4,1)
uk	(4,4)(1,1)
itv	(4,1)
studios	(4,1)
terrestrial	(4,1)
channel	(4,1)
narrative	(4,1)
spawned	(4,1)
v-tamer	(4,2)
01	(4,2)
written	(4,3)(1,1)(5,1)
hiroshi	(4,1)
izawa	(4,1)
serialization	(4,1)
chronicle	(4,2)
redigitize	(4,3)
decode	(4,1)
story	(4,8)
cyber	(4,4)
sleuth	(4,3)
hackers	(4,1)
x	(4,1)
dreamers	(4,1)
yuen	(4,2)
wong	(4,2)
yu	(4,4)
manhua	(4,2)
chinese	(4,1)(1,2)
drawn	(4,1)(1,1)
??????	(4,1)(1,1)
yuen-wong	(4,1)
storyline	(4,1)
adaptation	(4,1)
volumes	(4,2)
heavily	(4,1)
abridged	(4,1)
rare	(4,1)
occasions	(4,1)
differently	(4,1)
chinese-language	(4,1)
rightman	(4,1)
publishing	(4,2)
ltd	(4,1)
hong	(4,1)
kong	(4,1)
wrote	(4,1)(5,1)
d-cyber	(4,1)
chuang	(4,3)
yi	(4,3)
singapore	(4,1)
lianne	(4,1)
sentar	(4,1)
tokyopop	(4,2)
americathe	(4,1)
releases	(4,2)
madman	(4,1)
australia	(4,1)(1,2)
dark	(4,3)
horse	(4,3)
american-style	(4,1)
comic	(4,2)
books	(4,1)
adapting	(4,1)
thirteen	(4,1)(1,1)
daniel	(4,2)
horn	(4,2)
ryan	(4,1)
hill	(4,1)(5,1)
illustrated	(4,1)
cara	(4,1)
l	(4,1)
niece	(4,1)
panini	(4,2)
approached	(4,1)
adaptations	(4,4)
reprinted	(4,1)
translated	(4,2)
uks	(4,1)
companion	(4,1)
wickid	(4,1)
switched	(4,1)
storylines	(4,1)
adhered	(4,1)
strictly	(4,1)
sometimes	(4,1)
matter	(4,1)
mitsuo	(4,1)
yamakis	(4,1)
past	(4,1)(1,1)
ryos	(4,1)
undubbed	(4,1)
saving	(4,1)
venture	(4,1)
removed	(4,1)(5,1)
magazines	(4,1)
cancelled	(4,1)(1,1)
inspired	(4,1)
sub-series	(4,1)
simulation	(4,1)
strategy	(4,1)
400000	(4,1)
mmorpg	(4,3)
online	(4,3)
publisher	(4,2)
joymax	(4,1)
masters	(4,1)
korean	(4,1)
digitalic	(4,1)
titled	(4,2)
super	(4,1)
rumblein	(4,1)
seven-year	(4,1)
hiatus	(4,1)
enhanced	(4,1)
nintendo	(4,1)
3ds	(4,1)
2013digimon	(4,1)
ds	(4,1)
dawn	(4,1)
dusk	(4,1)
entries	(4,1)
sleuths	(4,1)
2016there	(4,1)
raised	(4,1)
farm	(4,1)
rearise	(4,1)
collectible	(4,1)
utilized	(4,1)
aspect	(4,1)
integral	(4,1)
d-tector	(4,2)
tie	(4,1)
west-only	(4,1)
28	(4,1)(1,1)
jintrix	(4,1)
physical	(4,1)(1,3)
crusader	(4,1)
fom	(4,1)
coincide	(4,1)
digimonfusion	(4,1)
outside-of-asia	(4,1)
soccer	(1,8)
teams	(1,25)
feet	(1,3)
propel	(1,1)
ball	(1,56)
rectangular	(1,3)
pitch	(1,9)
objective	(1,1)
moving	(1,1)
beyond	(1,1)
goal	(1,28)
line	(1,9)
opposing	(1,6)
sides	(1,2)
framed	(1,2)
traditionally	(1,2)
minute	(1,1)
halves	(1,3)
match	(1,19)
minutes	(1,5)
200	(1,2)
rules	(1,18)
1863	(1,4)
ifab	(1,10)
maintaining	(1,1)
1886	(1,2)
68???70	(1,2)
cm	(1,3)
27???28	(1,2)
circumference	(1,3)
compete	(1,3)
posts	(1,4)
bar	(1,2)
thereby	(1,3)
scoring	(1,3)
body	(1,5)
strike	(1,1)
pass	(1,4)
apart	(1,3)
hands	(1,9)
goalkeepers	(1,3)
penalty	(1,21)
scored	(1,12)
depending	(1,5)
format	(1,3)
draw	(1,3)
goes	(1,1)
shootoutinternationally	(1,1)
associations	(1,13)
managing	(1,1)
amateur	(1,2)
competitions	(1,24)
senior	(1,1)
prestigious	(1,5)
womens	(1,24)
most-viewed	(1,1)
sporting	(1,3)
surpassing	(1,1)
leagues	(1,6)
premier	(1,3)
england	(1,14)
liga	(1,2)
bundesliga	(1,2)
serie	(1,2)
ligue	(1,2)
attracting	(1,1)
excess	(1,2)
??600	(1,2)
million/???763	(1,2)
million/us185	(1,2)
billionthe	(1,1)
most-watched	(1,1)
severely	(1,1)
curbing	(1,1)
outlawing	(1,1)
restrictions	(1,3)
1991	(1,3)
confederations	(1,4)
record-breaking	(1,1)
112	(1,1)
viewers	(1,1)
watched	(1,1)
uefa	(1,9)
champions	(1,7)
attract	(1,2)
audience	(1,3)
codes	(1,7)
antiquity	(1,2)
ulster	(1,2)
ireland	(1,2)
whereas	(1,1)
zealand	(1,1)
prevalence	(1,1)
namely	(1,1)
rugby	(1,10)
sakk??	(1,1)
derived	(1,1)(5,1)
comes	(1,1)
oxford	(1,2)
-er	(1,1)
slang	(1,3)
1875	(1,1)
borrowed	(1,1)
gave	(1,1)
rugger	(1,1)
fiver	(1,1)
tenner	(1,1)
five-pound	(1,1)
ten-pound	(1,1)
note	(1,1)
now-archaic	(1,1)
footer	(1,1)
1895	(1,1)
1889	(1,1)
earlier	(1,2)
socca	(1,1)
kicking	(1,3)
arose	(1,1)
independently	(1,1)
across	(1,1)
phaininda	(1,3)
episkyros	(1,6)
image	(1,2)
depicted	(1,3)
stele	(1,2)
c???375???400	(1,2)
bce	(1,4)
athens	(1,2)
trophy	(1,2)
athenaeus	(1,2)
writing	(1,3)
228	(1,2)
mentions	(1,2)(5,1)
harpastumcode	(1,4)
lat	(1,4)
involving	(1,4)
violence	(1,3)
appear	(1,2)
resembled	(1,2)
wrestling	(1,2)
volleyball	(1,2)
recognizable	(1,2)
pre-codified	(1,2)
mob	(1,2)
antecedent	(1,2)
involved	(1,3)
handling	(1,4)
kickingthe	(1,1)
competitive	(1,2)
cuju	(1,3)
literally	(1,1)
kick	(1,14)
resembles	(1,1)
intent	(1,1)
han	(1,3)
dynasty	(1,3)
206	(1,1)
220	(1,1)
standardised	(1,2)
establishedphaininda	(1,1)
kickingother	(1,1)
kemari	(1,1)
chuk-guk	(1,1)
pasuckuakohowog	(1,1)
algonquians	(1,1)
identical	(1,1)
kind	(1,1)
kicked	(1,2)
goalsassociation	(1,1)
notwithstanding	(1,1)
similarities	(1,1)
recognised	(1,2)
connection	(1,2)
mid-19th	(1,1)
efforts	(1,2)
standardise	(1,1)
dates	(1,2)
cambridge	(1,4)
influential	(1,2)
trinity	(1,1)
college	(1,1)
meeting	(1,4)
representatives	(1,3)
eton	(1,1)
harrow	(1,1)
winchester	(1,1)
shrewsbury	(1,1)
universally	(1,1)
1850s	(1,1)
unconnected	(1,1)
notably	(1,2)
sheffield	(1,3)
pupils	(1,1)
1857	(1,1)
1867	(1,1)
1862	(1,1)
charles	(1,2)(5,1)
thring	(1,1)
uppingham	(1,1)
devised	(1,1)
rulesthese	(1,1)
ongoing	(1,1)
met	(1,1)
morning	(1,1)
freemasons	(1,2)
tavern	(1,2)
queen	(1,1)
street	(1,1)
london	(1,1)
occasion	(1,2)
charterhouse	(1,1)
comprehensive	(1,1)
treasurer	(1,1)
representative	(1,3)
blackheath	(1,1)
fc	(1,2)
withdrew	(1,1)
removal	(1,1)(5,1)
draft	(1,1)
running	(1,1)
hand	(1,1)
obstructing	(1,1)
hacking	(1,1)
opponent	(1,5)
shins	(1,1)
tripping	(1,2)
lead	(1,1)
1871	(1,1)
ebenezer	(1,1)
cobb	(1,1)
morley	(1,1)
went	(1,2)
ratify	(1,1)
crossbar	(1,2)
remarkably	(1,1)
victorian	(1,1)
1870s	(1,1)
difference	(1,1)
gamesthe	(1,1)
oldest	(1,1)
footballer	(1,1)
cricketer	(1,1)
w	(1,1)
alcock	(1,2)
contested	(1,4)
1872	(1,2)
scotland	(1,3)
glasgow	(1,2)
instigation	(1,1)
birmingham	(1,1)
aston	(1,2)
villa	(1,2)
director	(1,1)
william	(1,1)
mcgregor	(1,1)
midlands	(1,1)
manchester	(1,1)
wales	(1,1)
irish	(1,1)
paris	(1,2)
1904	(1,1)
admittance	(1,1)
1913	(1,1)
british	(1,5)(5,3)
associationsfootball	(1,1)
regularly	(1,2)
stadiums	(1,1)
favourite	(1,1)
billions	(1,1)
watch	(1,1)
sportin	(1,1)
evokes	(1,1)
passions	(1,1)
plays	(1,2)
individual	(1,4)
fans	(1,1)
ryszard	(1,1)
kapu??ci??ski	(1,1)
says	(1,1)
polite	(1,1)
humble	(1,1)
fall	(1,1)
easily	(1,2)
rage	(1,1)
playing	(1,9)
watching	(1,2)
ivory	(1,1)
secure	(1,1)
truce	(1,1)
tensions	(1,2)
rebel	(1,2)
bouak??	(1,1)
together	(1,2)
peacefully	(1,1)
contrast	(1,2)
proximate	(1,1)
1969	(1,2)
honduras	(1,1)
croatian	(1,1)
1990s	(1,2)
dinamo	(1,1)
zagreb	(1,1)
belgrade	(1,1)
rioting	(1,1)
tsu	(1,2)
chu	(1,2)
25???220	(1,2)
frescoes	(1,1)
opinions	(1,1)
accuracy	(1,1)
5000	(1,1)
documented	(1,1)
mid-lothian	(1,1)
1790s	(1,1)
prohibit	(1,1)
acceptable	(1,1)
1892	(1,1)
1895the	(1,1)
best-documented	(1,1)
activist	(1,1)
nettie	(1,2)
honeyball	(1,3)
1894	(1,1)
ladies	(1,5)
quoted	(1,1)
i	(1,3)
[1894]	(1,1)
fixed	(1,2)
resolve	(1,1)
proving	(1,1)
ornamental	(1,1)
useless	(1,1)
pictured	(1,1)
must	(1,7)
confess	(1,1)
my	(1,1)
convictions	(1,1)
matters	(1,2)
sexes	(1,1)
emancipation	(1,1)
sit	(1,1)
parliament	(1,1)
direction	(1,2)
concern	(1,1)
frowned	(1,1)
upon	(1,1)
suggested	(1,1)
motivated	(1,1)
perceived	(1,1)
threat	(1,1)
masculinity	(1,1)
gamewomens	(1,1)
scale	(1,1)
spurred	(1,1)
dick	(1,1)
kerr	(1,1)
preston	(1,1)
matches	(1,14)
1920	(1,2)
xi	(1,1)
22???0despite	(1,1)
53000	(1,1)
crowd	(1,1)
blow	(1,1)
1921	(1,2)
outlawed	(1,1)
pitches	(1,1)
distasteful	(1,1)
speculated	(1,1)
envy	(1,1)
crowds	(1,2)
attracted	(1,1)
groundsassociation	(1,1)
charity	(1,1)
exercise	(1,1)
organised	(1,4)
mirroring	(1,1)
male	(1,3)
struggles	(1,1)
golden	(1,1)
50000	(1,1)
stopped	(1,6)
englands	(1,1)
ban	(1,2)
fas	(1,1)
rescinded	(1,1)
voting	(1,1)
recognise	(1,1)
1971the	(1,1)
inaugurated	(1,1)
1996	(1,3)
gameplay	(1,2)
spherical	(1,2)
captain	(1,1)
responsibility	(1,1)
mandated	(1,1)
represent	(1,1)
coin	(1,1)
toss	(1,1)
kick-off	(1,3)
kicksthe	(1,1)
deliberately	(1,3)
handle	(1,2)
throw-in	(1,2)
restart	(1,3)
move	(1,2)(5,1)
heading	(1,1)
forehead	(1,1)
normal	(1,1)
teammates	(1,1)
offside	(1,1)
positionduring	(1,1)
attempt	(1,2)
goal-scoring	(1,1)
opportunities	(1,1)
dribbling	(1,1)
passing	(1,1)
teammate	(1,1)
shots	(1,1)
guarded	(1,1)
goalkeeper	(1,7)
try	(1,1)
regain	(1,1)
intercepting	(1,1)
tackling	(1,1)
possession	(1,2)
free-flowing	(1,1)
stopping	(1,2)
referee	(1,17)
infringement	(1,1)
stoppage	(1,7)
recommences	(1,1)
specified	(1,1)
2005???06	(1,1)
248	(1,1)
do	(1,2)
specify	(1,1)
specialised	(1,1)
evolved	(1,1)
broadly	(1,1)
categories	(1,1)
strikers	(1,1)
forwards	(1,3)
task	(1,1)
defenders	(1,3)
specialise	(1,1)
preventing	(1,1)
midfielders	(1,2)
dispossess	(1,1)
keep	(1,1)
outfield	(1,3)
distinguish	(1,1)
spends	(1,1)
arranged	(1,1)
combination	(1,1)
determines	(1,1)
creates	(1,2)
aggressive	(1,1)
offensive-minded	(1,1)
reverse	(1,1)
slower	(1,1)
defensive	(1,1)
spend	(1,1)
specific	(1,3)
switch	(1,2)
layout	(1,1)
defining	(1,1)
tactics	(1,1)
prerogative	(1,1)
manager	(1,1)
containing	(1,1)
collection	(1,1)
stipulation	(1,1)
guidelines	(1,1)
apply	(1,1)
certain	(1,3)
modifications	(1,1)
juniors	(1,1)
seniors	(1,1)
disabilities	(1,1)
flexibility	(1,1)
seventeen	(1,1)
decisions	(1,5)
directives	(1,1)
regulation	(1,2)
ruleset	(1,1)
federation	(1,3)
athletic	(1,2)
rulesets	(1,1)
equipment	(1,3)
maximum	(1,2)
substitutes	(1,3)
minimum	(1,1)
required	(1,7)
constitute	(1,3)
front	(1,2)
non-goalkeeper	(1,1)
strategically	(1,1)
coach	(1,1)
lawsthe	(1,1)
kit	(1,1)
wear	(1,4)
shirt	(1,1)
shorts	(1,1)
socks	(1,1)
footwear	(1,1)
adequate	(1,1)
shin	(1,1)
guards	(1,1)
supporter	(1,1)
protective	(1,1)
recommended	(1,1)
experts	(1,1)
professionals	(1,1)
headgear	(1,1)
piece	(1,1)
protect	(1,1)
injury	(1,4)
forbidden	(1,1)
anything	(1,1)
dangerous	(1,1)
jewellery	(1,1)
watches	(1,1)
clothing	(1,1)
distinguishable	(1,1)
worn	(1,1)
officialsa	(1,1)
course	(1,1)
substitutions	(1,2)
ninety	(1,1)
should	(1,3)
extra-time	(1,1)
vary	(1,1)
friendly	(1,1)
substitution	(1,1)
tiredness	(1,1)
ineffectiveness	(1,1)
tactical	(1,1)
timewasting	(1,1)
finely	(1,1)
poised	(1,1)
standard	(1,5)
adult	(1,3)
substituted	(1,2)
take	(1,1)
recommends	(1,1)
awarded	(1,9)
abandoned	(1,1)
officiated	(1,1)
enforce	(1,3)
assisted	(1,1)
assistant	(1,2)
referees	(1,3)
high-level	(1,2)
assists	(1,1)
replace	(1,1)
need	(1,1)
arisegoal	(1,1)
technology	(1,1)
goal-line	(1,1)
determining	(1,1)
prevent	(1,1)
controversy	(1,1)
var	(1,1)
increasingly	(1,1)
assist	(1,1)
replays	(1,2)
correct	(1,1)
obvious	(1,1)
mistakes	(1,1)
calls	(1,1)
reviewed	(1,1)
mistaken	(1,1)
identity	(1,1)
awarding	(1,2)
yellow	(1,6)
violation	(1,1)
buildup	(1,1)
68	(1,2)
70	(1,1)
weight	(1,1)
410	(1,1)
450	(1,1)
g	(1,1)
oz	(1,1)
06	(1,1)
atmospheres	(1,1)
85	(1,1)
156	(1,1)
pounds	(1,1)
inch	(1,1)
leather	(1,1)
panels	(1,1)
sewn	(1,1)
latex	(1,1)
bladder	(1,1)
pressurisation	(1,1)
balls	(1,1)
synthetic	(1,1)
initially	(1,2)
administered	(1,1)
solely	(1,1)
dimensions	(1,2)
expressed	(1,1)
imperial	(1,2)
express	(1,1)
approximate	(1,1)
metric	(1,1)
equivalents	(1,1)
brackets	(1,1)
remains	(1,1)
metrication	(1,2)
britainthe	(1,1)
100???110	(1,1)
110???120	(1,1)
yd	(1,8)
64???75	(1,1)
70???80	(1,1)
fields	(1,1)
non-international	(1,1)
90???120	(1,1)
100???130	(1,1)
45???90	(1,1)
50???100	(1,1)
size	(1,1)
105	(1,1)
115	(1,1)
74	(1,1)
dimension	(1,1)
hold	(1,1)
implementedthe	(1,1)
longer	(1,1)
touchlines	(1,2)
shorter	(1,1)
boundaries	(1,1)
positioned	(1,1)
midway	(1,1)
inner	(1,1)
edges	(1,1)
vertical	(1,1)
732	(1,1)
edge	(1,1)
244	(1,1)
nets	(1,1)
lawsin	(1,1)
165	(1,2)
goalposts	(1,1)
perpendicular	(1,1)
joining	(1,1)
functions	(1,1)
mark	(1,3)
foul	(1,5)
defending	(1,3)
punishable	(1,4)
markings	(1,1)
define	(1,1)
kick-offs	(1,1)
kicks	(1,5)
corner	(1,2)
duration	(1,3)
tie-breaking	(1,2)
90-minute	(1,2)
ordinary	(1,1)
continuously	(1,1)
clock	(1,2)
15-minute	(1,2)
half-time	(1,1)
full-time	(1,1)
timekeeper	(1,1)
allowance	(1,1)
injured	(1,1)
requiring	(1,1)
attention	(1,1)
stoppages	(1,1)
documents	(1,1)
synonym	(1,1)
sole	(1,1)
discretion	(1,1)
compensate	(1,1)
involves	(1,2)
hour	(1,1)
effective	(1,1)
alone	(1,1)
signals	(1,2)
towards	(1,2)
how	(1,2)
intend	(1,1)
informs	(1,1)
spectators	(1,1)
showing	(1,1)
signalled	(1,1)
incident	(1,1)
happened	(1,1)
stoke	(1,3)
trailing	(1,1)
1???0	(1,1)
villas	(1,1)
recovered	(1,1)
leaving	(1,1)
unable	(1,1)
retaken	(1,1)
un-completed	(1,1)
knockout	(1,1)
employed	(1,1)
deadlock	(1,1)
invoke	(1,1)
tied	(1,2)
periods	(1,2)
shootouts	(1,1)
determine	(1,2)
stage	(1,1)
count	(1,1)
decide	(1,1)
progresses	(1,2)
shootout	(1,2)
scorein	(1,1)
two-legged	(1,1)
aggregate	(1,1)
deciding	(1,2)
aggregates	(1,1)
winners	(1,3)
case	(1,2)
leg	(1,1)
potentially	(1,1)
leaves	(1,1)
restarted	(1,1)
touchline	(1,1)
touched	(1,3)
wholly	(1,2)
attacking	(1,2)
indirect	(1,3)
non-penal	(1,1)
fouls	(1,4)
infringements	(1,1)
caution	(1,2)
dismiss	(1,1)
touching	(1,1)
fouled	(1,2)
listed	(1,5)(5,1)
penal	(1,2)
dropped-ball	(1,1)
occurs	(1,2)
serious	(1,2)
defective	(1,1)
misconduct	(1,5)
on-field	(1,3)
commits	(1,1)
offence	(1,6)
offences	(1,3)
pushing	(1,1)
examples	(1,1)
kickthe	(1,1)
punish	(1,1)
dismissal	(1,2)
leads	(1,1)
booked	(1,1)
notebook	(1,1)
dismissed	(1,1)
substitute	(1,2)
participate	(1,1)
definitions	(1,1)
unsporting	(1,1)
behaviour	(1,1)
deal	(1,1)
violate	(1,1)
spirit	(1,1)
non-players	(1,1)
managers	(1,1)
staff	(1,1)
cannot	(1,2)
expelled	(1,1)
fail	(1,1)
conduct	(1,2)
mannerrather	(1,1)
doing	(1,1)
advantage	(1,3)
penalise	(1,1)
anticipated	(1,1)
ensue	(1,1)
seconds	(1,1)
penalised	(1,1)
offender	(1,1)
sanctioned	(1,1)
playthe	(1,1)
on-pitch	(1,1)
altered	(1,1)
awards/non-awards	(1,1)
incorrect	(1,2)
off-field	(1,1)
organisers	(1,1)
aspects	(1,1)
dealing	(1,1)
comments	(1,1)
press	(1,1)
doping	(1,1)
fraud	(1,1)
fixing	(1,1)
suspensions	(1,2)
sent	(1,1)
incidents	(1,1)
allegations	(1,1)
impose	(1,1)
heavier	(1,1)
sanctions	(1,2)
incurred	(1,1)
feel	(1,1)
unduly	(1,1)
harshsanctions	(1,1)
infractions	(1,1)
levied	(1,1)
individuals	(1,1)
penalties	(1,2)
fines	(1,1)
deductions	(1,1)
expulsion	(1,1)
deduct	(1,1)
enters	(1,1)
forfeiture	(1,1)
forfeited	(1,2)
loss	(1,1)
futsal	(1,1)
z??rich	(1,1)
switzerland	(1,1)
afc	(1,2)
caf	(1,2)
north/central	(1,1)
concacaf	(1,4)
ofc	(1,3)
confederaci??n	(1,1)
f??tbol	(1,1)
conmebolnational	(1,1)
oversee	(1,1)
synonymous	(1,1)
cameroonian	(1,1)
cameroon	(1,1)
sub-national	(1,1)
entities	(1,1)
209	(1,1)
affiliated	(1,1)
confederationswhile	(1,1)
arranging	(1,1)
actual	(1,1)
varieties	(1,1)
qualification	(1,2)
refers	(1,1)
nationalities	(1,1)
renders	(1,1)
takes	(1,1)
1930	(1,1)
1942	(1,1)
1946	(1,1)
ii	(1,1)
190???200	(1,1)
qualifying	(1,1)
scope	(1,1)
32	(1,1)
competing	(1,1)
four-week	(1,1)
viewed	(1,1)
exceeding	(1,1)
cumulative	(1,1)
2629	(1,1)
7151	(1,1)
planet	(1,1)
vie	(1,1)
slots	(1,1)
phase	(1,1)
automatically	(1,1)
32nd	(1,1)
1900	(1,1)
angeles	(1,2)
inception	(1,1)
amateurs	(1,3)
professionalism	(1,1)
spread	(1,1)
gap	(1,1)
widened	(1,1)
benefited	(1,1)
soviet	(1,1)
bloc	(1,1)
athletes	(1,1)
state-sponsored	(1,1)
1948	(1,3)
23	(1,3)(5,1)
sweden	(1,1)
denmark	(1,1)
1960	(1,1)
1968	(1,1)
breaking	(1,1)
ioc	(1,1)
decided	(1,1)
admit	(1,1)
tournamentafter	(1,1)
conmebol	(1,1)
regarded	(1,1)
warm-up	(1,1)
upcoming	(1,1)
carry	(1,1)
prestige	(1,1)
discontinued	(1,1)
edition	(1,1)
exist	(1,1)
operate	(1,1)
comprising	(1,1)
tables	(1,1)
placing	(1,1)
accrued	(1,1)
round-robin	(1,1)
bottom	(1,1)
relegated	(1,1)
divisionthe	(1,1)
eligible	(1,1)
exceptions	(1,1)
divide	(1,1)
sections	(1,1)(5,1)
apertura	(1,1)
clausura	(1,1)
closing	(1,1)
supplement	(1,1)
knock-out	(1,1)
basis	(1,1)
part-timers	(1,1)
job	(1,1)
internationale	(1,1)
wea	(5,25)
miami-illinois-speaking	(5,1)
tribe	(5,13)
indiana	(5,23)
closely	(5,1)
miami	(5,10)
sub-tribe	(5,2)
miamitoday	(5,1)
kaskaskia	(5,2)
piankeshaw	(5,1)
peoria	(5,5)
enrolled	(5,1)
indians	(5,3)
oklahoma	(5,4)
federally	(5,1)
shortened	(5,1)
autonym	(5,1)
waayaahtanwa	(5,1)
waayaahtanonki	(5,1)
whirlpool	(5,1)
timethe	(5,1)
spellings	(5,1)
tribes	(5,4)
waiatanwa	(5,1)
ouaouiatanoukak	(5,1)
aoiatenon	(5,1)
aouciatenons	(5,1)
ochiatenens	(5,1)
ouatanons	(5,1)
ouias	(5,1)
ouiatanon	(5,1)
wah-we-ah-tung-ong	(5,1)
warraghtinooks	(5,1)
wyatanons	(5,1)
dialect	(5,1)
miami-illinois	(5,1)
algonquian	(5,1)
lived	(5,1)
ohio	(5,4)
southeastern	(5,1)
illinois	(5,6)
mention	(5,1)
1673	(5,1)
explorers	(5,1)
17th	(5,1)
pepikokia	(5,1)
1742	(5,1)
piankashaw	(5,1)
1765	(5,1)
1200in	(5,1)
villages	(5,2)
wabash	(5,3)
terre	(5,5)
haute	(5,5)
logansport	(5,2)
ouiatenon	(5,3)
lafayette	(5,3)
facilitated	(5,1)
kickapooin	(5,1)
1747	(5,1)
weas	(5,2)
post	(5,1)
1763	(5,1)
odawa	(5,1)
chiefpontiac	(5,1)
pontiacs	(5,1)
neutral	(5,1)
forced	(5,2)
